#FIR coefficients for EISCAT 3D FSRU Delays
#
#April 20, 2017
#Computed using Equiripple Method
#
#Delay is in picoseconds
#Coefficients are signed, 18 bits, 3 integer bits.  Full scale = 32768.
#
#Delay Coef0 Coef1 Coef2 Coef3 Coef4 Coef5 Coef6 Coef7 Coef8 Coef9 
5040 -35 83 -179 470 32789 -512 235 -120 65 -29 
5060 -30 72 -155 408 32788 -445 204 -105 57 -25 
5080 -25 61 -132 345 32786 -379 173 -89 48 -22 
5100 -21 50 -108 283 32784 -312 143 -73 40 -18 
5120 -16 39 -84 221 32781 -245 112 -57 31 -14 
5140 -12 28 -61 160 32778 -178 81 -42 23 -10 
5160 -7 17 -37 98 32775 -110 50 -26 14 -6 
5180 -3 7 -14 37 32771 -42 19 -10 5 -2 
5200 2 -4 9 -24 32766 26 -12 6 -3 2 
5220 6 -15 32 -84 32761 94 -43 22 -12 5 
5240 11 -26 56 -144 32756 163 -74 38 -20 9 
5260 16 -37 79 -204 32750 232 -105 54 -29 13 
5280 20 -48 102 -264 32744 301 -136 70 -38 17 
5300 25 -59 125 -324 32737 371 -167 85 -46 21 
5320 29 -70 148 -383 32730 440 -199 101 -55 25 
5340 34 -80 171 -442 32723 510 -230 117 -64 29 
5360 38 -91 194 -501 32715 581 -261 133 -72 33 
5380 43 -102 217 -559 32706 651 -293 149 -81 36 
5400 47 -113 239 -617 32697 722 -324 165 -89 40 
5420 52 -123 262 -675 32688 793 -356 181 -98 44 
5440 56 -134 285 -733 32678 864 -387 197 -107 48 
5460 61 -145 307 -790 32668 936 -419 213 -115 52 
5480 65 -155 330 -847 32657 1007 -451 229 -124 56 
5500 69 -166 352 -904 32646 1079 -482 245 -133 60 
5520 74 -177 375 -960 32635 1152 -514 261 -141 64 
5540 78 -187 397 -1016 32623 1224 -546 277 -150 67 
5560 83 -198 419 -1072 32610 1297 -578 293 -158 71 
5580 87 -208 442 -1128 32597 1370 -609 309 -167 75 
5600 92 -219 464 -1183 32584 1443 -641 326 -176 79 
5620 96 -229 486 -1238 32570 1516 -673 342 -184 83 
5640 100 -240 508 -1293 32556 1590 -705 358 -193 87 
5660 105 -250 530 -1348 32542 1664 -737 374 -202 91 
5680 109 -261 551 -1402 32526 1738 -769 390 -210 95 
5700 114 -271 573 -1456 32511 1813 -801 406 -219 98 
5720 118 -282 595 -1510 32495 1887 -833 422 -227 102 
5740 122 -292 617 -1563 32479 1962 -865 438 -236 106 
5760 127 -302 638 -1616 32462 2037 -897 454 -245 110 
5780 131 -313 660 -1669 32445 2113 -929 470 -253 114 
5800 135 -323 681 -1722 32427 2188 -961 486 -262 118 
5820 140 -333 702 -1774 32409 2264 -993 502 -270 121 
5840 144 -343 724 -1826 32390 2340 -1025 518 -279 125 
5860 148 -353 745 -1877 32371 2416 -1057 534 -287 129 
5880 153 -364 766 -1929 32352 2493 -1090 550 -296 133 
5900 157 -374 787 -1980 32332 2569 -1122 566 -305 137 
5920 161 -384 808 -2031 32311 2646 -1154 583 -313 141 
5940 165 -394 829 -2081 32291 2723 -1186 599 -322 144 
5960 170 -404 850 -2132 32270 2801 -1218 615 -330 148 
5980 174 -414 870 -2181 32248 2878 -1251 631 -339 152 
6000 178 -424 891 -2231 32226 2956 -1283 647 -347 156 
6020 182 -434 911 -2280 32203 3034 -1315 663 -356 160 
6040 186 -444 932 -2330 32180 3112 -1347 679 -364 163 
6060 191 -454 952 -2378 32157 3190 -1379 695 -373 167 
6080 195 -464 973 -2427 32133 3269 -1412 711 -381 171 
6100 199 -473 993 -2475 32109 3348 -1444 726 -390 175 
6120 203 -483 1013 -2523 32085 3427 -1476 742 -398 178 
6140 207 -493 1033 -2570 32059 3506 -1508 758 -407 182 
6160 211 -503 1053 -2618 32034 3586 -1541 774 -415 186 
6180 215 -512 1073 -2665 32008 3665 -1573 790 -423 190 
6200 220 -522 1092 -2712 31982 3745 -1605 806 -432 193 
6220 224 -531 1112 -2758 31955 3825 -1637 822 -440 197 
6240 228 -541 1132 -2804 31928 3905 -1669 838 -449 201 
6260 232 -551 1151 -2850 31900 3986 -1702 854 -457 205 
6280 236 -560 1171 -2895 31872 4066 -1734 869 -465 208 
6300 240 -570 1190 -2941 31844 4147 -1766 885 -474 212 
6320 244 -579 1209 -2986 31815 4228 -1798 901 -482 216 
6340 248 -588 1228 -3030 31786 4309 -1830 917 -490 219 
6360 252 -598 1248 -3075 31756 4391 -1863 933 -499 223 
6380 256 -607 1266 -3119 31726 4472 -1895 948 -507 227 
6400 260 -616 1285 -3162 31695 4554 -1927 964 -515 230 
6420 264 -626 1304 -3206 31664 4636 -1959 980 -523 234 
6440 268 -635 1323 -3249 31633 4718 -1991 995 -532 238 
6460 272 -644 1341 -3292 31601 4800 -2023 1011 -540 241 
6480 275 -653 1360 -3334 31569 4883 -2055 1027 -548 245 
6500 279 -662 1378 -3376 31536 4965 -2087 1042 -556 249 
6520 283 -671 1397 -3418 31503 5048 -2119 1058 -564 252 
6540 287 -680 1415 -3460 31470 5131 -2151 1073 -573 256 
6560 291 -689 1433 -3501 31436 5214 -2183 1089 -581 259 
6580 295 -698 1451 -3542 31402 5297 -2215 1104 -589 263 
6600 299 -707 1469 -3583 31367 5381 -2247 1120 -597 267 
6620 302 -716 1487 -3623 31332 5465 -2278 1135 -605 270 
6640 306 -725 1504 -3664 31296 5548 -2310 1150 -613 274 
6660 310 -733 1522 -3703 31260 5632 -2342 1166 -621 277 
6680 314 -742 1540 -3743 31224 5717 -2374 1181 -629 281 
6700 317 -751 1557 -3782 31187 5801 -2406 1196 -637 284 
6720 321 -759 1574 -3821 31150 5885 -2437 1212 -645 288 
6740 325 -768 1591 -3859 31113 5970 -2469 1227 -653 291 
6760 328 -776 1609 -3898 31075 6055 -2500 1242 -661 295 
6780 332 -785 1626 -3936 31036 6140 -2532 1257 -669 298 
6800 336 -793 1643 -3973 30998 6225 -2563 1272 -677 302 
6820 339 -802 1659 -4011 30959 6310 -2595 1288 -685 305 
